Longtitude,Latitude,id,ISO3166_2_CODE,Name_EN,Name_VI,Total_Forest_Area,Natural_Forest_Area,Planted_Forest_Area,Coverage_Percentage
109.2977485,12.49101701,,VN-56,Khanh Hoa,Khánh Hoà,-,-,-,-
109.368861,12.59313274,,VN-56,Khanh Hoa,Khánh Hoà,-,-,-,-
109.2981931,12.71670204,,VN-56,Khanh Hoa,Khánh Hoà,-,-,-,-
108.9480726,12.33369165,,VN-56,Khanh Hoa,Khánh Hoà,-,-,-,-
103.4432121,9.30525678,,VN-91,Kien Giang,Kiên Giang,76.7,58.02,18.68,"11,93"
104.3472647,9.684437495,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
104.6316123,9.812307851,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
104.0126807,9.959597335,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
104.8361346,9.959196809,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
104.5485081,10.0231119,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
104.528863,10.17785217,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
104.3190178,10.43958255,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
105.244502,10.01585191,,VN-91,Kien Giang,Kiên Giang,-,-,-,-
108.0201158,14.67356705,,VN-62,Kon Tum,Kon Tum,624.66,547.604,77.056,"63,05"
103.2658643,22.24687539,,VN-12,Lai Chau,Lai Châu,473.927,450.392,23.534,"51,87"
108.0127645,11.73503279,,VN-68,Lam Dong,Lâm Đồng,538.234,454.534,83.7,"54,44"
106.5654179,21.87696721,,VN-20,Lang Son,Lạng Sơn,572.095,255.522,316.573,"63,70"
104.1639693,22.37358634,,VN-10,Lao Cai,Lào Cai,382.861,266.753,116.108,"57,70"
106.1359944,10.70499274,,VN-80,Long An,Long An,21.826,838,20.988,"4,00"
106.2986074,20.20174576,,VN-36,Nam Dinh,Nam Định,3.045,-,3.045,"1,78"
104.9164067,19.24566609,,VN-40,Nghe An,Nghệ An,1.014.075,789.934,224.141,"58,36"
105.9324293,20.20509113,,VN-37,Ninh Binh,Ninh Bình,27.892,23.036,4.857,"19,62"
108.9318688,11.7656278,,VN-58,Ninh Thuan,Ninh Thuận,160.424,147.42,13.004,"47,11"
103.9848159,10.22063214,,VN-91,Phu Quoc (Kien Giang),Kiên Giang,-,-,-,-
105.1161299,21.31342082,,VN-25,Phu Tho,Phú Thọ,169.333,47.403,121.93,"39,90"
109.0825011,13.2095924,,VN-54,Phu Yen,Phú Yên,250.659,126.974,123.685,"45,95"
106.313928,17.49254737,,VN-44,Quang Binh,Quảng Bình,590.038,469.317,120.722,"68,69"
108.5233278,15.94359724,,VN-49,Quang Nam,Quảng Nam,680.806,463.53,217.276,"58,71"
107.9235847,15.62029189,,VN-49,Quang Nam,Quảng Nam,-,-,-,-
108.6434612,14.9294163,,VN-51,Quang Ngai,Quảng Ngãi,333.05,106.672,226.378,"51,01"
107.5043078,20.96439118,,VN-22,Quang Ninh,Quảng Ninh,370.213,121.872,248.341,"55,00"
107.6131183,21.08655617,,VN-22,Quang Ninh,Quảng Ninh,-,-,-,-
107.4520423,21.11221695,,VN-22,Quang Ninh,Quảng Ninh,-,-,-,-
107.1759295,21.24761653,,VN-22,Quang Ninh,Quảng Ninh,-,-,-,-
106.9599523,16.71965653,,VN-45,Quang Tri,Quảng Trị,248.122,126.692,121.429,"49,90"
105.9520771,9.668493009,,VN-94,Soc Trang,Sóc Trăng,10.246,1.733,8.513,"2,54"
104.1179282,21.30643649,,VN-14,Son La,Sơn La,672.934,594.076,78.858,"47,30"
106.123982,11.39337205,,VN-72,Tay Ninh,Tây Ninh,66.569,46.425,20.144,"16,16"
106.3819015,20.54243691,,VN-34,Thai Binh,Thái Bình,4.248,-,4.248,"2,49"
105.8521144,21.65172107,,VN-19,Thai Nguyen,Thái Nguyên,165.749,62.452,103.297,"47,06"
105.4918164,19.98389591,,VN-38,Thanh Hoa,Thanh Hoá,647.737,393.361,254.376,"53,60"
107.4529463,16.40783733,,VN-46,Thua Thien - Hue,Thừa Thiên Huế,305.56,205.602,99.958,"57,15"
106.3096726,10.38396808,,VN-82,Tien Giang,Tiền Giang,2.591,-,2.591,"0,99"
106.6342494,10.72758196,,VN-79,TP. Ho Chi Minh,TP Hồ Chí Minh,33.557,13.509,20.049,"15,93"
106.2843661,9.842357244,,VN-84,Tra Vinh,Trà Vinh,9.539,2.955,6.583,"4,07"
113.5856403,6.964497899,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.8479749,7.404952462,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.5467549,7.538452339,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.6065534,7.568841521,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.0808057,7.610387625,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.1465228,7.605731999,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.6804792,7.637587409,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.7879081,7.635891964,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.5486938,7.658222587,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.7492357,7.693427437,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.2751927,7.701737509,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3091105,7.716347293,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3665461,7.725267561,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.0534499,7.688522352,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.1924626,7.746266941,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3641553,7.771622423,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.740283,7.7813026,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3851168,7.808166795,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
109.1335639,7.82479695,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
110.4974387,7.83617698,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4140033,7.832022717,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.7335214,7.866492647,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.240304,7.804567335,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.4805186,7.916972506,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.7195024,7.933356987,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3334907,7.915998034,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.9386481,7.981002223,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
110.6101242,8.035896991,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.1409425,8.095187712,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6254813,8.122282158,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.6005027,8.21400197,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.2819783,8.150777262,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.2196681,8.370302813,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5862479,8.490477593,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
111.6611261,8.678157262,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.1753799,8.702572084,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.0135034,8.798459514,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
112.6001675,8.833622974,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6725284,8.857841526,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
112.8241365,8.868891573,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
112.1927539,8.859677851,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.2789199,8.89129763,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
113.6685982,8.953502265,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.6786791,9.030807174,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.9292436,9.320978208,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.4398397,9.398062543,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.9276705,9.457017514,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1677448,9.599916835,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
112.9845974,9.645863898,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.2735882,9.711961945,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.5453229,9.726298104,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.4379698,9.761022414,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.2549629,9.764577012,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3676732,9.778416961,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.4264687,9.779822042,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.3970209,9.799657535,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
115.8559133,9.720327222,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
