Region,Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Trung du và miền núi phía Bắc,Yên Bái,3.4,4.4,1.8,4,4.4,2.2,1.4,1.3,2.1,1.6,2.17,1.54,1.6
Trung du và miền núi phía Bắc,Thái Nguyên,11.5,7.7,4.7,4.1,6.5,3.5,2.9,2.8,3,6.9,1.01,1.74,0.78
Trung du và miền núi phía Bắc,Lạng Sơn,3,6.2,3.5,6.1,2,2.4,1.4,1.3,2.2,1.3,1.69,0.86,1.28
Trung du và miền núi phía Bắc,Bắc Giang,3,5.5,3.2,4.6,4.8,3.1,1.8,1.3,1.6,2.5,3.5,4.16,1.28
Trung du và miền núi phía Bắc,Phú Thọ,2.4,4.5,3.1,6.7,5.2,2.7,1.7,1.1,1.1,1.3,1.25,1.68,0.87
Trung du và miền núi phía Bắc,Điện Biên,3.6,3.9,3.4,4.7,4.4,2,1.1,1.3,0.8,1.1,0.31,0.69,0.27
Trung du và miền núi phía Bắc,Lai Châu,3.5,3.5,3.9,5,3.8,1.6,1,2,1.7,2.9,0.94,0.81,0.86
Trung du và miền núi phía Bắc,Sơn La,2,2.7,1.3,2.6,2,0.6,0.6,0.4,0.5,0.7,0.24,0.27,0.55
Trung du và miền núi phía Bắc,Hòa Bình,3.8,5.6,2.1,2.7,3.4,1.8,2.5,1.7,1.6,1.6,0.75,2,1.49
Bắc Trung Bộ và duyên hải miền Trung,Thanh Hóa,6.8,9.8,5.1,13.3,5.7,3.5,3.2,3.1,1.9,1.1,1.25,0.69,2.08
Bắc Trung Bộ và duyên hải miền Trung,Nghệ An,2.7,4.8,1,6.8,19.4,10.1,4.5,8.9,1.3,1,0.86,1.38,1.18
Bắc Trung Bộ và duyên hải miền Trung,Hà Tĩnh,4.7,6.2,3.7,6.9,10.9,3.9,3.5,1.2,1.9,2.5,1.29,2.74,2.14
Bắc Trung Bộ và duyên hải miền Trung,Quảng Bình,2.4,4,7.6,6.5,5.8,3.2,2,1.6,1.8,1.9,1.02,2.66,3.61
Bắc Trung Bộ và duyên hải miền Trung,Quảng Trị,5.6,4.9,3.6,5.3,6.2,4.7,2.5,2.6,2.4,2.3,4.39,3.48,4.65
Bắc Trung Bộ và duyên hải miền Trung,Thừa Thiên - Huế,8.3,13.5,5,6.8,7.1,3,3.2,2.1,1,3.1,1.96,6.02,5.25
Bắc Trung Bộ và duyên hải miền Trung,Đà Nẵng,29.8,22.8,17.5,15.5,14,11.6,12.3,7,6.6,16.7,13.7,18.93,10.41
Bắc Trung Bộ và duyên hải miền Trung,Quảng Nam,4.9,8.8,3.3,6.2,4.6,2.5,4.3,1.5,1.6,1.6,1.41,3.46,4.47
Bắc Trung Bộ và duyên hải miền Trung,Quảng Ngãi,2.3,5.4,1.8,4.2,3.6,1.5,1.4,0.8,1.9,1.3,2.33,2.49,2.68
Bắc Trung Bộ và duyên hải miền Trung,Bình Định,6,6.6,2.8,3.7,4.4,2.3,1.5,2,0.6,1.4,0.82,2.33,1.62
Bắc Trung Bộ và duyên hải miền Trung,Phú Yên,2.5,6.1,3.2,3.9,3.9,1.4,1,1.4,0.7,1.1,1.03,2.34,1.54
Bắc Trung Bộ và duyên hải miền Trung,Khánh Hòa,3.7,5,3.1,3.4,3.5,1.6,1.5,1.4,0.5,1.9,1.05,0.67,0.79
Bắc Trung Bộ và duyên hải miền Trung,Ninh Thuận,2.9,3.8,3.6,7.4,4,1.8,0.9,1.4,1.2,1.3,1.28,2.04,1.17
Bắc Trung Bộ và duyên hải miền Trung,Bình Thuận,4.2,2.1,2.3,5.3,2.4,1,1.3,1.1,1.4,1.4,1,0.56,0.49
Bắc Trung Bộ và duyên hải miền Trung,Tây Nguyên,5.7,6,8.7,8.3,7.7,2.3,2,1.9,1.3,2.2,1.6,1.4,0.95
